player,date,game_num,score
nick,2022-05-09 12:56:15,324,5
nick,2022-05-04 14:04:11,319,3
nick,2022-05-03 06:07:22,318,2
nick,2022-05-02 13:29:27,317,4
nick,2022-04-29 06:46:31,314,2
nick,2022-04-28 10:40:13,313,4
nick,2022-04-27 06:41:16,312,4
nick,2022-04-26 07:19:26,311,4
nick,2022-04-23 18:31:40,308,5
nick,2022-04-22 18:25:03,307,1
nick,2022-04-20 11:07:20,305,4
nick,2022-04-19 09:09:52,304,5
nick,2022-04-18 10:57:30,303,5
nick,2022-04-17 12:48:38,302,6
nick,2022-04-15 09:11:17,300,5
nick,2022-04-14 11:05:35,299,5
nick,2022-04-13 09:11:47,298,4
nick,2022-04-12 08:32:40,297,5
nick,2022-04-11 09:21:33,296,3
nick,2022-04-10 14:48:00,295,6
nick,2022-04-09 09:31:08,294,4
nick,2022-04-08 07:30:29,293,4
nick,2022-04-07 08:41:45,292,6
nick,2022-04-06 06:46:50,291,5
nick,2022-04-05 07:27:11,290,5
nick,2022-04-04 09:39:37,289,5
nick,2022-04-03 08:47:01,288,6
nick,2022-04-02 08:02:26,287,4
nick,2022-04-01 09:22:33,286,5
nick,2022-03-31 06:04:24,285,2
nick,2022-03-30 18:14:31,284,4
nick,2022-03-29 12:07:40,283,5
nick,2022-03-25 09:59:32,279,6
nick,2022-03-24 14:11:13,278,5
