player,date,game_num,score,LOSS
Dad,2022-03-21 01:24:17,275,4,0.0
Dad,2022-03-20 19:41:35,274,5,0.0
Chris,2022-03-20 09:09:18,274,5,0.0
Danielle,2022-03-20 01:06:45,274,5,0.0
Chris,2022-03-19 10:10:53,273,6,0.0
Dad,2022-03-19 09:45:07,273,4,0.0
Danielle,2022-03-19 09:41:07,273,4,0.0
Dad,2022-03-18 01:26:29,272,4,0.0
Danielle,2022-03-18 00:50:30,272,2,0.0
Michael,2022-03-17 12:28:25,271,6,0.0
Chris,2022-03-17 07:45:29,271,3,0.0
Dad,2022-03-17 01:10:04,271,4,0.0
Danielle,2022-03-17 00:21:30,271,4,0.0
Michael,2022-03-16 10:33:43,270,4,0.0
Chris,2022-03-16 09:27:00,270,x,0.0
Dad,2022-03-16 01:09:35,270,5,0.0
Danielle,2022-03-16 00:08:16,270,4,0.0
Michael,2022-03-15 08:29:58,269,6,0.0
Chris,2022-03-15 06:13:45,269,4,0.0
Dad,2022-03-15 00:54:03,269,4,0.0
Danielle,2022-03-15 00:02:33,269,3,0.0
Dad,2022-03-14 15:58:26,268,4,0.0
Chris,2022-03-14 08:52:20,258,5,0.0
Michael,2022-03-14 08:46:55,268,5,0.0
Danielle,2022-03-14 00:24:29,268,3,0.0
Michael,2022-03-13 11:06:23,267,5,0.0
Dad,2022-03-13 01:33:27,267,3,0.0
Chris,2022-03-13 01:20:32,267,4,0.0
Danielle,2022-03-13 00:19:04,267,5,0.0
Dad,2022-03-12 01:06:49,266,4,0.0
Chris,2022-03-12 00:28:08,266,3,0.0
Danielle,2022-03-12 00:16:10,266,3,0.0
Michael,2022-03-11 11:43:28,265,X,1.0
Chris,2022-03-11 09:34:12,265,5,0.0
Dad,2022-03-11 00:55:28,265,2,0.0
Danielle,2022-03-11 00:22:25,265,4,0.0
Michael,2022-03-10 08:45:57,264,4,0.0
Chris,2022-03-10 06:05:56,264,5,0.0
Dad,2022-03-10 00:55:23,264,2,0.0
Danielle,2022-03-10 00:11:59,264,4,0.0
Michael,2022-03-09 10:46:43,263,3,0.0
Chris,2022-03-09 08:06:53,263,5,0.0
Dad,2022-03-09 00:49:41,263,3,0.0
Danielle,2022-03-09 00:36:13,263,5,0.0
Danielle,2022-03-08 09:37:33,262,5,0.0
Michael,2022-03-08 08:30:47,262,X,1.0
Chris,2022-03-08 06:09:09,262,4,0.0
Dad,2022-03-08 01:01:33,262,4,0.0
Michael,2022-03-07 12:31:24,261,4,0.0
Chris,2022-03-07 06:10:55,261,4,0.0
Dad,2022-03-07 01:15:44,261,5,0.0
Danielle,2022-03-07 00:05:49,261,4,0.0
Chris,2022-03-06 12:50:03,260,2,0.0
Danielle,2022-03-06 10:48:38,260,4,0.0
Michael,2022-03-06 10:39:47,260,3,0.0
Dad,2022-03-06 00:52:56,260,4,0.0
Chris,2022-03-05 13:58:55,259,3,0.0
Danielle,2022-03-05 13:26:37,259,6,0.0
Michael,2022-03-05 11:15:52,259,3,0.0
Dad,2022-03-05 01:25:00,259,4,0.0
Chris,2022-03-04 11:51:54,258,5,0.0
Danielle,2022-03-04 11:51:18,258,5,0.0
Michael,2022-03-04 10:43:10,258,6,0.0
Dad,2022-03-04 01:06:56,258,3,0.0
Chris,2022-03-03 09:29:51,257,3,0.0
Michael,2022-03-03 08:33:14,257,5,0.0
Dad,2022-03-03 00:57:42,257,3,0.0
Danielle,2022-03-03 00:25:27,257,3,0.0
Michael,2022-03-02 18:59:15,256,6,0.0
Chris,2022-03-02 06:34:22,256,5,0.0
Dad,2022-03-02 01:03:02,256,3,0.0
Danielle,2022-03-02 00:21:31,256,3,0.0
Danielle,2022-03-01 12:32:53,255,5,0.0
Dad,2022-03-01 10:50:46,255,5,0.0
Chris,2022-03-01 09:23:58,255,4,0.0
Michael,2022-03-01 08:56:21,255,3,0.0
Chris,2022-02-28 11:31:18,254,3,0.0
Michael,2022-02-28 08:31:05,254,5,0.0
Dad,2022-02-28 00:45:44,254,3,0.0
Danielle,2022-02-28 00:16:42,254,3,0.0
Michael,2022-02-27 13:02:49,253,3,0.0
Chris,2022-02-27 12:43:13,253,4,0.0
Dad,2022-02-27 01:31:06,253,4,0.0
Danielle,2022-02-27 00:20:24,253,4,0.0
Chris,2022-02-26 14:05:39,252,6,0.0
Dad,2022-02-26 13:21:30,252,4,0.0
Michael,2022-02-26 12:40:59,252,5,0.0
Danielle,2022-02-26 00:23:04,252,6,0.0
Michael,2022-02-25 17:00:02,251,X,1.0
Chris,2022-02-25 08:13:39,251,5,0.0
Dad,2022-02-25 01:10:20,251,5,0.0
Danielle,2022-02-25 00:41:16,251,4,0.0
Michael,2022-02-24 17:36:29,250,4,0.0
Danielle,2022-02-24 12:19:05,250,4,0.0
Chris,2022-02-24 07:53:07,250,4,0.0
Dad,2022-02-24 01:09:44,250,2,0.0
Chris,2022-02-23 07:49:24,249,5,0.0
Dad,2022-02-23 00:57:34,249,4,0.0
Michael,2022-02-23 00:18:22,249,6,0.0
Danielle,2022-02-23 00:05:29,249,5,0.0
Michael,2022-02-22 08:21:53,248,3,0.0
Chris,2022-02-22 07:59:23,248,5,0.0
Dad,2022-02-22 00:50:07,248,3,0.0
Danielle,2022-02-22 00:19:42,248,3,0.0
Michael,2022-02-21 15:42:11,247,3,0.0
Chris,2022-02-21 07:46:41,247,4,0.0
Dad,2022-02-21 01:11:03,247,4,0.0
Danielle,2022-02-21 00:11:32,247,3,0.0
Michael,2022-02-20 18:40:07,246,4,0.0
Chris,2022-02-20 15:16:22,246,5,0.0
Dad,2022-02-20 09:35:10,246,4,0.0
Danielle,2022-02-20 00:37:47,246,6,0.0
Danielle,2022-02-19 11:22:28,245,5,0.0
Michael,2022-02-19 10:51:46,245,5,0.0
Chris,2022-02-19 09:53:54,245,4,0.0
Dad,2022-02-19 00:49:21,245,6,0.0
Chris,2022-02-18 07:52:00,244,5,0.0
Dad,2022-02-18 01:13:23,244,5,0.0
Danielle,2022-02-18 00:10:16,244,5,0.0
Chris,2022-02-17 13:56:59,243,5,0.0
Michael,2022-02-17 10:14:50,243,5,0.0
Dad,2022-02-17 01:11:54,243,4,0.0
Danielle,2022-02-17 00:08:48,243,X,1.0
Chris,2022-02-16 07:38:54,242,4,0.0
Michael,2022-02-16 07:30:39,242,4,0.0
Danielle,2022-02-16 00:19:44,242,3,0.0
Dad,2022-02-16 00:11:46,242,4,0.0
Michael,2022-02-15 21:33:19,241,6,0.0
Chris,2022-02-15 07:50:07,241,4,0.0
Dad,2022-02-15 01:26:33,241,4,0.0
Danielle,2022-02-15 00:52:31,241,5,0.0
Chris,2022-02-14 17:47:09,240,4,0.0
Michael,2022-02-14 17:41:05,240,5,0.0
Dad,2022-02-14 01:25:17,240,5,0.0
Danielle,2022-02-14 00:50:19,240,5,0.0
Michael,2022-02-13 23:59:20,239,6,0.0
Chris,2022-02-13 09:24:47,239,3,0.0
Danielle,2022-02-13 01:17:48,239,3,0.0
Dad,2022-02-13 01:12:06,239,3,0.0
